"code","isaccessory","isindividual","isline","ismetallic","ispackage","ispaint","isstandard","istop","istrim","isuni","isupholstery","iswheel","name","optionattribute","optionpackagecodekey","optiontype","price","vehicleref","vehicle_id","ismarketing","wholesaleprice"
"S05AS",False,False,False,False,False,False,True,False,False,False,False,False,"Driving Assistant","",NULL,"O","0",NULL,"63978348",False,0
"S05AT",False,False,False,False,False,False,False,False,False,False,False,False,"Driving Assistant Plus","2","S07EW","O","0",NULL,"63978348",False,0
"S05DN",False,False,False,False,False,False,False,False,False,False,False,False,"Parking Assistant Plus","2","S07EW","O","0",NULL,"63978348",False,0
"S0645",False,False,False,False,False,False,True,False,False,False,False,False,"Radio control US","",NULL,"O","0",NULL,"63978348",False,0
"S0655",False,False,False,False,False,False,True,False,False,False,False,False,"SiriusXM Satellite Radio with 1-year All Access Subscription","",NULL,"O","0",NULL,"63978348",False,0
"S0676",False,False,False,False,False,False,True,False,False,False,False,False,"Hi-fi sound system","",NULL,"O","0",NULL,"63978348",False,0
"S06AC",False,False,False,False,False,False,True,False,False,False,False,False,"BMW Assist eCall","",NULL,"O","0",NULL,"63978348",False,0
"S06AE",False,False,False,False,False,False,True,False,False,False,False,False,"BMW TeleServices","",NULL,"O","0",NULL,"63978348",False,0
"S06NX",False,False,False,False,False,False,True,False,False,False,False,False,"Wireless Device Charging","",NULL,"O","0",NULL,"63978348",False,0
"S06PA",False,False,False,False,False,False,False,False,False,False,False,False,"Personal eSIM 5G","S",NULL,"O","0",NULL,"63978348",False,0
"S06U3",False,False,False,False,False,False,False,False,False,False,False,False,"Head-up Display","2","S07EW","O","0",NULL,"63978348",False,0
"S0775",False,False,False,False,False,False,True,False,False,False,False,False,"Anthracite headliner","",NULL,"O","0",NULL,"63978348",False,0
"S07EW",False,False,False,False,True,False,False,False,False,False,False,False,"Premium content 1","1",NULL,"","0",NULL,"63978348",False,0
"S0823",False,False,False,False,False,False,True,False,False,False,False,False,"Hot climate version","",NULL,"O","0",NULL,"63978348",False,0
"S0842",False,False,False,False,False,False,True,False,False,False,False,False,"Cold climate version","",NULL,"O","0",NULL,"63978348",False,0
"S0845",False,False,False,False,False,False,True,False,False,False,False,False,"Acoustic belt warning","",NULL,"O","0",NULL,"63978348",False,0
"S0853",False,False,False,False,False,False,True,False,False,False,False,False,"Language Version English","",NULL,"O","0",NULL,"63978348",False,0
"S08KL",False,False,False,False,False,False,False,False,False,False,False,False,"Oil Chg 10,000 mls/12 months","S",NULL,"O","0",NULL,"63978348",False,0
"S08R9",False,False,False,False,False,False,True,False,False,False,False,False,"Refrigerant","",NULL,"O","0",NULL,"63978348",False,0
"S08SM",False,False,False,False,False,False,True,False,False,False,False,False,"Visible chassis number","",NULL,"O","0",NULL,"63978348",False,0
"S08TN",False,False,False,False,False,False,False,False,False,False,False,False,"Daytime driving lights","S",NULL,"O","0",NULL,"63978348",False,0
"S08WM",False,False,False,False,False,False,False,False,False,False,False,False,"Control D","0",NULL,"O","0",NULL,"63978348",False,0
"S0992",False,False,False,False,False,False,True,False,False,False,False,False,"characteristic control attachment","",NULL,"O","0",NULL,"63978348",False,0
"S0ZAX",False,False,False,False,False,False,False,False,False,False,False,False,"Apple CarPlay and Android Auto Compatibility","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZJY",False,False,False,False,False,False,False,False,False,False,False,False,"Digital Key Plus with Setup Card","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZN1",False,False,False,False,False,False,False,False,False,False,False,False,"Active Blind Spot Detection","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZN8",False,False,False,False,False,False,False,False,False,False,False,False,"Lane Keeping Assistant","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZNY",False,False,False,False,False,False,False,False,False,False,False,False,"Forward Collision Mitigation","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZOS",False,False,False,False,False,False,False,False,False,False,False,False,"Speed Limit Assistant","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZOU",False,False,False,False,False,False,False,False,False,False,False,False,"Distance Control (ACC) with Steering Assistant","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZPP",False,False,False,False,True,False,False,False,False,False,False,False,"Premium Package","1",NULL,"","3450",NULL,"63978348",True,3210
"S0ZTM",False,False,False,False,False,False,False,False,False,False,False,False,"Tier 2","0",NULL,"O","0",NULL,"63978348",False,0
"S0ZX3",False,False,False,False,False,False,False,False,False,False,False,False,"Parking View with 3D View (SurroundView)","2","S0ZPP","O","0",NULL,"63978348",False,0
"S0ZXZ",False,False,False,False,False,False,False,False,False,False,False,False,"Active Park Distance Control with Side Protection","0",NULL,"O","0",NULL,"63978348",False,0
"SDEST",False,False,False,False,False,False,False,False,False,False,False,False,"Destination Charge","",NULL,"L","1350",NULL,"63978348",False,1350
"STRNG",False,False,False,False,False,False,False,False,False,False,False,False,"Training/Service Fee","",NULL,"L","0",NULL,"63978348",False,180
"FKSSW",False,False,False,False,False,False,False,False,False,False,True,False,"Black Perforated and Quilted Veganza","0",NULL,"U","0",NULL,"63978156",True,0
"P0C7A",False,False,False,True,False,True,False,False,False,False,False,False,"Dune Grey Metallic","0",NULL,"C","650",NULL,"63978156",True,605
"S01CB",False,False,False,False,False,False,True,False,False,False,False,False,"CO2 content","",NULL,"O","0",NULL,"63978156",False,0
"S01CE",False,False,False,False,False,False,True,False,False,False,False,False,"48V Mild Hybrid System","",NULL,"O","0",NULL,"63978156",False,0
"S01CR",False,False,False,False,False,False,False,False,False,False,False,False,"Remote Engine Start","2","S0ZCV","O","0",NULL,"63978156",False,0
"S01D0",False,False,False,False,False,False,True,False,False,False,False,False,"Exhaust technology SULEV20 PM.","",NULL,"O","0",NULL,"63978156",False,0
"S0212",False,False,False,False,False,False,True,False,False,False,False,False,"Brake System Equipment","",NULL,"O","0",NULL,"63978156",False,0
"S0248",False,False,False,False,False,False,False,False,False,False,False,False,"Heated Steering Wheel","2","S0ZCV","O","0",NULL,"63978156",False,0
"S02TE",False,False,False,False,False,False,True,False,False,False,False,False,"STEPTRONIC automatic transmission with shift Paddles","",NULL,"O","0",NULL,"63978156",False,0
"S02VB",False,False,False,False,False,False,True,False,False,False,False,False,"Tire pressure monitor","",NULL,"O","0",NULL,"63978156",False,0
"S0300",False,False,False,False,False,False,False,False,False,False,False,False,"Space-saver spare","0",NULL,"O","0",NULL,"63978156",False,0
"S0302",False,False,False,False,False,False,True,False,False,False,False,False,"Alarm System","",NULL,"O","0",NULL,"63978156",False,0
"S0319",False,False,False,False,False,False,False,False,False,False,False,False,"Universal garage-door opener","S",NULL,"O","0",NULL,"63978156",False,0
"S0322",False,False,False,False,False,False,True,False,False,False,False,False,"Comfort Access keyless entry","",NULL,"O","0",NULL,"63978156",False,0
"S03DZ",False,False,False,False,False,False,True,False,False,False,False,False,"Without Lines designation outside","",NULL,"O","0",NULL,"63978156",False,0
"S03HQ",False,False,False,False,False,False,True,False,False,False,False,True,"19"" Aero Midnight Grey Bicolor 941 Wheels with All Season Tires","0",NULL,"O","0",NULL,"63978156",True,0
"S03MB",False,False,False,False,False,False,False,False,False,False,False,False,"Satin aluminum line exterior trim","0",NULL,"O","0",NULL,"63978156",False,0
"S0402",False,False,False,False,False,False,False,False,False,False,False,False,"Panoramic moonroof","2","S0ZCV","O","0",NULL,"63978156",False,0
"S0420",False,False,False,False,False,False,False,False,False,False,False,False,"Privacy glass","S",NULL,"O","0",NULL,"63978156",False,0
